Company Name,Industry,Symbol,Series,ISIN Code
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,EQ,INE343B01030
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013
