Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
DLF Ltd.,Realty,DLF,EQ,INE271C01023
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
