Company Name,Industry,Symbol,Series,ISIN Code
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
CESC Ltd.,Power,CESC,EQ,INE486A01021
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,INE055A01016
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,BE,INE704P01025
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ,INE063P01018
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
